Feedback ID,Product ID,Return Date,Return Reason,Customer Feedback
75,161,2022-10-16,Defective product,"Unfortunately, I decided I didn't need this product anymore."
76,66,2023-09-04,Defective product,The product I received was defective. It didn't work properly.
77,100,2023-03-22,Wrong item received,I received the wrong item. It's not what I ordered.
78,8,2023-04-16,Poor quality,I expected something different based on the description. Disappointed.
79,143,2022-10-15,Defective product,I expected something different based on the description. Disappointed.
80,72,2022-10-23,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
81,58,2023-08-31,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
82,39,2022-11-15,Wrong item received,The quality of the product is disappointing. It's not worth the price.
83,88,2023-05-26,Wrong item received,The product I received didn't match the description. It was misleading.
84,101,2022-10-20,Defective product,I'm not satisfied with the quality of this product. It's subpar.
85,169,2023-07-16,Wrong item received,I expected something different based on the description. Disappointed.
86,36,2023-06-26,Wrong item received,The quality of the product is disappointing. It's not worth the price.
87,23,2023-09-02,Not as described,The product I received was defective. It didn't work properly.
88,187,2023-02-13,Defective product,I received the wrong item. It's not what I ordered.
89,98,2022-11-16,Poor quality,"This product had a defect, and I'm not satisfied with it."
90,134,2023-03-18,Defective product,The product I received was defective. It didn't work properly.
91,174,2022-12-23,Wrong item received,"This is not what I ordered, and I'd like to get the correct item."
92,157,2023-05-19,Not as described,I'm not satisfied with the quality of this product. It's subpar.
93,161,2023-08-16,Not as described,The product I received was defective. It didn't work properly.
94,176,2023-03-09,Changed my mind,I received the wrong item. It's not what I ordered.
95,59,2023-07-03,Changed my mind,I'm not satisfied with the quality of this product. It's subpar.
96,107,2023-01-05,Not as described,"This is not what I ordered, and I'd like to get the correct item."
97,62,2022-11-15,Defective product,"This is not what I ordered, and I'd like to get the correct item."
98,147,2023-04-21,Defective product,The product I received was defective. It didn't work properly.
99,40,2023-08-07,Wrong item received,I received the wrong item. It's not what I ordered.
100,110,2022-09-29,Changed my mind,I received the wrong item. It's not what I ordered.
101,80,2023-05-28,Not as described,I expected something different based on the description. Disappointed.
102,155,2023-07-19,Wrong item received,"This product had a defect, and I'm not satisfied with it."
103,85,2022-11-27,Poor quality,The quality of the product is disappointing. It's not worth the price.
104,115,2022-11-04,Poor quality,"This product had a defect, and I'm not satisfied with it."
105,139,2023-07-04,Defective product,"This is not what I ordered, and I'd like to get the correct item."
106,34,2023-07-07,Wrong item received,The product I received didn't match the description. It was misleading.
107,53,2023-07-09,Wrong item received,The product I received didn't match the description. It was misleading.
108,168,2023-01-07,Not as described,"Unfortunately, I decided I didn't need this product anymore."
109,36,2022-10-03,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
110,149,2023-04-15,Not as described,I expected something different based on the description. Disappointed.
111,139,2023-03-05,Changed my mind,The product I received was defective. It didn't work properly.
112,176,2022-09-14,Wrong item received,"This product had a defect, and I'm not satisfied with it."
113,52,2023-01-25,Defective product,I received the wrong item. It's not what I ordered.
114,36,2023-08-17,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
115,80,2023-08-18,Wrong item received,I expected something different based on the description. Disappointed.
116,177,2023-07-20,Changed my mind,I received the wrong item. It's not what I ordered.
117,181,2022-12-07,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
118,135,2022-11-12,Defective product,I'm not satisfied with the quality of this product. It's subpar.
119,35,2022-11-08,Changed my mind,The product I received was defective. It didn't work properly.
120,111,2023-01-05,Wrong item received,I received the wrong item. It's not what I ordered.
121,198,2023-08-14,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
122,38,2023-02-01,Poor quality,I expected something different based on the description. Disappointed.
123,168,2023-01-01,Poor quality,I received the wrong item. It's not what I ordered.
124,145,2023-03-22,Poor quality,The product I received didn't match the description. It was misleading.
125,41,2023-01-28,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
126,82,2023-09-14,Defective product,"This is not what I ordered, and I'd like to get the correct item."
127,18,2023-02-12,Poor quality,The product I received was defective. It didn't work properly.
128,143,2023-08-23,Changed my mind,"This product had a defect, and I'm not satisfied with it."
129,137,2023-08-04,Defective product,I received the wrong item. It's not what I ordered.
130,185,2023-09-11,Poor quality,"Unfortunately, I decided I didn't need this product anymore."
131,31,2022-12-05,Changed my mind,The quality of the product is disappointing. It's not worth the price.
132,48,2023-05-22,Defective product,"This product had a defect, and I'm not satisfied with it."
133,82,2023-06-05,Defective product,"Unfortunately, I decided I didn't need this product anymore."
134,38,2023-07-06,Wrong item received,"This is not what I ordered, and I'd like to get the correct item."
135,187,2023-01-14,Changed my mind,"Unfortunately, I decided I didn't need this product anymore."
136,8,2022-10-02,Wrong item received,I'm not satisfied with the quality of this product. It's subpar.
137,196,2022-10-15,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
138,82,2023-01-09,Defective product,I'm not satisfied with the quality of this product. It's subpar.
139,106,2023-08-09,Changed my mind,I expected something different based on the description. Disappointed.
140,106,2023-09-14,Changed my mind,"This product had a defect, and I'm not satisfied with it."
141,78,2023-01-20,Not as described,The quality of the product is disappointing. It's not worth the price.
142,114,2023-08-09,Poor quality,I changed my mind after purchasing the product. Can I return it for a refund?
143,191,2023-09-01,Defective product,The product I received was defective. It didn't work properly.
144,164,2022-10-19,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
145,190,2022-12-14,Not as described,"Unfortunately, I decided I didn't need this product anymore."
146,71,2023-07-02,Not as described,The product I received was defective. It didn't work properly.
147,39,2023-02-11,Changed my mind,The product I received was defective. It didn't work properly.
148,200,2022-10-22,Not as described,I received the wrong item. It's not what I ordered.
149,49,2023-01-16,Poor quality,"Unfortunately, I decided I didn't need this product anymore."
150,28,2023-03-25,Defective product,"This is not what I ordered, and I'd like to get the correct item."
151,34,2023-03-17,Wrong item received,The quality of the product is disappointing. It's not worth the price.
152,48,2023-07-21,Poor quality,The product I received was defective. It didn't work properly.
153,7,2023-08-17,Not as described,"Unfortunately, I decided I didn't need this product anymore."
154,196,2023-04-06,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
155,157,2023-03-24,Changed my mind,I expected something different based on the description. Disappointed.
156,158,2023-03-27,Changed my mind,The quality of the product is disappointing. It's not worth the price.
157,69,2022-10-22,Changed my mind,The product I received was defective. It didn't work properly.
158,156,2023-03-13,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
159,146,2023-02-06,Wrong item received,I expected something different based on the description. Disappointed.
160,157,2022-11-27,Changed my mind,The product I received didn't match the description. It was misleading.
161,60,2023-06-06,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
162,153,2023-07-24,Defective product,The product I received didn't match the description. It was misleading.
163,60,2022-12-30,Changed my mind,I'm not satisfied with the quality of this product. It's subpar.
164,60,2023-05-05,Changed my mind,"This product had a defect, and I'm not satisfied with it."
165,176,2023-04-19,Wrong item received,"This is not what I ordered, and I'd like to get the correct item."
166,7,2022-12-05,Wrong item received,I'm not satisfied with the quality of this product. It's subpar.
167,92,2023-01-21,Poor quality,I expected something different based on the description. Disappointed.
168,21,2023-07-05,Poor quality,I expected something different based on the description. Disappointed.
169,177,2023-01-03,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
170,200,2022-12-05,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
171,123,2023-01-30,Poor quality,I changed my mind after purchasing the product. Can I return it for a refund?
172,35,2022-10-08,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
173,129,2023-05-04,Changed my mind,I received the wrong item. It's not what I ordered.
174,155,2022-11-15,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
175,121,2023-01-25,Poor quality,"This product had a defect, and I'm not satisfied with it."
176,183,2023-07-18,Changed my mind,The product I received was defective. It didn't work properly.
177,167,2022-12-31,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
178,96,2022-09-22,Not as described,"Unfortunately, I decided I didn't need this product anymore."
179,48,2023-03-26,Wrong item received,I received the wrong item. It's not what I ordered.
180,100,2023-03-18,Defective product,I received the wrong item. It's not what I ordered.
181,126,2023-08-21,Defective product,I'm not satisfied with the quality of this product. It's subpar.
182,122,2023-01-26,Wrong item received,The quality of the product is disappointing. It's not worth the price.
183,36,2023-05-03,Not as described,The product I received was defective. It didn't work properly.
184,42,2023-02-09,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
185,50,2023-03-02,Defective product,I'm not satisfied with the quality of this product. It's subpar.
186,58,2022-09-21,Defective product,I'm not satisfied with the quality of this product. It's subpar.
187,9,2022-12-03,Not as described,"Unfortunately, I decided I didn't need this product anymore."
188,105,2023-05-23,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
189,196,2022-11-11,Defective product,I'm not satisfied with the quality of this product. It's subpar.
190,4,2022-12-24,Not as described,"Unfortunately, I decided I didn't need this product anymore."
191,70,2023-09-12,Wrong item received,The product I received was defective. It didn't work properly.
192,106,2023-02-05,Not as described,The product I received didn't match the description. It was misleading.
193,57,2022-11-22,Not as described,"This is not what I ordered, and I'd like to get the correct item."
194,191,2023-08-23,Poor quality,"This product had a defect, and I'm not satisfied with it."
195,172,2022-11-22,Defective product,"This product had a defect, and I'm not satisfied with it."
196,52,2023-05-27,Changed my mind,I received the wrong item. It's not what I ordered.
197,194,2023-03-18,Wrong item received,I expected something different based on the description. Disappointed.
198,53,2023-09-01,Poor quality,I changed my mind after purchasing the product. Can I return it for a refund?
199,17,2023-01-05,Not as described,"This product had a defect, and I'm not satisfied with it."
200,46,2023-04-21,Wrong item received,"This product had a defect, and I'm not satisfied with it."
201,113,2023-01-04,Changed my mind,The product I received didn't match the description. It was misleading.
202,158,2022-11-28,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
203,126,2023-01-24,Wrong item received,"This product had a defect, and I'm not satisfied with it."
204,177,2023-02-18,Defective product,The product I received didn't match the description. It was misleading.
205,84,2022-10-05,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
206,118,2023-04-26,Not as described,I expected something different based on the description. Disappointed.
207,64,2023-07-05,Defective product,The product I received didn't match the description. It was misleading.
208,110,2023-05-08,Defective product,The quality of the product is disappointing. It's not worth the price.
209,104,2022-09-20,Not as described,The product I received was defective. It didn't work properly.
210,199,2022-11-17,Poor quality,"Unfortunately, I decided I didn't need this product anymore."
211,11,2023-09-08,Changed my mind,I received the wrong item. It's not what I ordered.
212,156,2023-02-19,Wrong item received,The quality of the product is disappointing. It's not worth the price.
213,189,2023-06-13,Poor quality,The product I received didn't match the description. It was misleading.
214,98,2023-06-29,Changed my mind,I received the wrong item. It's not what I ordered.
215,185,2023-09-02,Changed my mind,I changed my mind after purchasing the product. Can I return it for a refund?
216,81,2022-10-01,Wrong item received,"This is not what I ordered, and I'd like to get the correct item."
217,101,2022-10-22,Poor quality,I received the wrong item. It's not what I ordered.
218,157,2022-09-25,Poor quality,The product I received was defective. It didn't work properly.
219,191,2023-08-13,Poor quality,I changed my mind after purchasing the product. Can I return it for a refund?
220,147,2023-07-23,Wrong item received,The product I received didn't match the description. It was misleading.
221,153,2023-01-20,Wrong item received,"This product had a defect, and I'm not satisfied with it."
222,138,2022-12-12,Changed my mind,The product I received was defective. It didn't work properly.
223,135,2023-08-06,Poor quality,The product I received didn't match the description. It was misleading.
224,165,2022-09-21,Not as described,I'm not satisfied with the quality of this product. It's subpar.
225,181,2023-03-15,Changed my mind,I changed my mind after purchasing the product. Can I return it for a refund?
226,10,2022-12-13,Not as described,"This is not what I ordered, and I'd like to get the correct item."
227,134,2023-05-26,Changed my mind,I'm not satisfied with the quality of this product. It's subpar.
228,28,2023-05-06,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
229,116,2022-11-19,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
230,117,2023-06-22,Changed my mind,I received the wrong item. It's not what I ordered.
231,11,2023-06-25,Changed my mind,I'm not satisfied with the quality of this product. It's subpar.
232,63,2023-05-13,Defective product,I'm not satisfied with the quality of this product. It's subpar.
233,133,2023-04-01,Not as described,The quality of the product is disappointing. It's not worth the price.
234,138,2023-01-23,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
235,102,2023-03-06,Changed my mind,I received the wrong item. It's not what I ordered.
236,189,2022-10-26,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
237,11,2023-05-08,Not as described,I'm not satisfied with the quality of this product. It's subpar.
238,143,2022-09-28,Poor quality,I expected something different based on the description. Disappointed.
239,100,2023-06-20,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
240,133,2023-03-16,Poor quality,The product I received didn't match the description. It was misleading.
241,196,2023-07-29,Changed my mind,I changed my mind after purchasing the product. Can I return it for a refund?
242,162,2023-01-29,Not as described,The product I received didn't match the description. It was misleading.
243,13,2023-06-03,Not as described,"This is not what I ordered, and I'd like to get the correct item."
244,49,2023-01-06,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
245,75,2022-10-25,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
246,113,2023-02-28,Not as described,"This product had a defect, and I'm not satisfied with it."
247,102,2022-11-29,Defective product,The product I received didn't match the description. It was misleading.
248,78,2023-04-30,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
249,199,2023-07-21,Changed my mind,"Unfortunately, I decided I didn't need this product anymore."
250,74,2023-05-12,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
251,119,2022-09-22,Not as described,The product I received didn't match the description. It was misleading.
252,43,2022-11-02,Wrong item received,The quality of the product is disappointing. It's not worth the price.
253,109,2023-09-01,Changed my mind,I expected something different based on the description. Disappointed.
254,76,2022-11-15,Changed my mind,The quality of the product is disappointing. It's not worth the price.
255,157,2022-11-23,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
256,14,2023-01-01,Not as described,The product I received didn't match the description. It was misleading.
257,177,2023-06-02,Poor quality,I expected something different based on the description. Disappointed.
258,133,2023-03-01,Defective product,I expected something different based on the description. Disappointed.
259,37,2023-03-05,Changed my mind,The product I received didn't match the description. It was misleading.
260,119,2022-11-14,Changed my mind,I expected something different based on the description. Disappointed.
261,166,2023-05-14,Not as described,The product I received was defective. It didn't work properly.
262,116,2023-01-29,Changed my mind,"This product had a defect, and I'm not satisfied with it."
263,24,2023-02-21,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
264,185,2023-05-13,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
265,129,2023-05-25,Not as described,I expected something different based on the description. Disappointed.
266,29,2023-07-18,Poor quality,I received the wrong item. It's not what I ordered.
267,47,2023-02-25,Changed my mind,I changed my mind after purchasing the product. Can I return it for a refund?
268,200,2023-07-07,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
269,150,2022-11-14,Defective product,The product I received didn't match the description. It was misleading.
270,179,2023-05-28,Wrong item received,The product I received didn't match the description. It was misleading.
271,140,2023-05-01,Wrong item received,I'm not satisfied with the quality of this product. It's subpar.
272,35,2023-05-08,Not as described,"This product had a defect, and I'm not satisfied with it."
273,101,2022-11-10,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
274,106,2023-05-27,Changed my mind,"Unfortunately, I decided I didn't need this product anymore."
275,83,2023-06-30,Not as described,The product I received didn't match the description. It was misleading.
276,116,2023-08-10,Defective product,"Unfortunately, I decided I didn't need this product anymore."
277,7,2023-06-29,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
278,46,2022-11-04,Poor quality,I'm not satisfied with the quality of this product. It's subpar.
279,117,2023-01-02,Changed my mind,The product I received didn't match the description. It was misleading.
280,152,2022-09-22,Changed my mind,I'm not satisfied with the quality of this product. It's subpar.
281,183,2023-02-20,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
282,52,2023-06-05,Changed my mind,"This product had a defect, and I'm not satisfied with it."
283,117,2022-11-19,Poor quality,The product I received was defective. It didn't work properly.
284,24,2022-11-03,Not as described,I received the wrong item. It's not what I ordered.
285,65,2023-08-25,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
286,83,2023-02-16,Wrong item received,The product I received didn't match the description. It was misleading.
287,178,2023-03-15,Changed my mind,I received the wrong item. It's not what I ordered.
288,167,2022-11-15,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
289,183,2023-04-16,Wrong item received,I expected something different based on the description. Disappointed.
290,42,2022-10-19,Defective product,"This product had a defect, and I'm not satisfied with it."
291,184,2023-04-28,Not as described,I'm not satisfied with the quality of this product. It's subpar.
292,188,2022-10-11,Poor quality,The quality of the product is disappointing. It's not worth the price.
293,32,2022-11-04,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
294,24,2022-10-05,Changed my mind,I changed my mind after purchasing the product. Can I return it for a refund?
295,30,2022-11-25,Defective product,"This is not what I ordered, and I'd like to get the correct item."
296,181,2023-09-09,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
297,116,2022-10-05,Poor quality,The quality of the product is disappointing. It's not worth the price.
298,163,2023-08-02,Not as described,I expected something different based on the description. Disappointed.
299,93,2023-04-06,Wrong item received,I'm not satisfied with the quality of this product. It's subpar.
300,22,2022-09-28,Changed my mind,I received the wrong item. It's not what I ordered.
301,135,2023-07-03,Defective product,I changed my mind after purchasing the product. Can I return it for a refund?
302,182,2022-10-08,Changed my mind,"This product had a defect, and I'm not satisfied with it."
303,99,2023-08-24,Defective product,"This is not what I ordered, and I'd like to get the correct item."
304,187,2022-10-17,Poor quality,The product I received was defective. It didn't work properly.
305,131,2022-11-02,Not as described,The product I received didn't match the description. It was misleading.
306,157,2023-04-23,Poor quality,The quality of the product is disappointing. It's not worth the price.
307,41,2022-09-26,Poor quality,"This product had a defect, and I'm not satisfied with it."
308,97,2022-10-27,Not as described,"Unfortunately, I decided I didn't need this product anymore."
309,141,2023-06-09,Changed my mind,"This product had a defect, and I'm not satisfied with it."
310,98,2023-06-30,Not as described,"This is not what I ordered, and I'd like to get the correct item."
311,12,2023-07-03,Defective product,I'm not satisfied with the quality of this product. It's subpar.
312,197,2023-08-27,Defective product,The product I received didn't match the description. It was misleading.
313,44,2023-08-21,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
314,86,2023-02-07,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
315,145,2023-05-14,Defective product,The product I received was defective. It didn't work properly.
316,169,2023-07-08,Poor quality,I changed my mind after purchasing the product. Can I return it for a refund?
317,39,2023-05-30,Wrong item received,"This product had a defect, and I'm not satisfied with it."
318,42,2023-02-25,Not as described,The quality of the product is disappointing. It's not worth the price.
319,38,2023-02-04,Wrong item received,I expected something different based on the description. Disappointed.
320,46,2022-10-05,Changed my mind,The quality of the product is disappointing. It's not worth the price.
321,197,2023-07-14,Poor quality,The quality of the product is disappointing. It's not worth the price.
322,183,2022-12-24,Poor quality,I expected something different based on the description. Disappointed.
323,14,2023-09-08,Poor quality,"Unfortunately, I decided I didn't need this product anymore."
324,108,2023-08-18,Defective product,The product I received didn't match the description. It was misleading.
325,79,2022-09-21,Changed my mind,"This product had a defect, and I'm not satisfied with it."
326,80,2023-05-31,Wrong item received,"This product had a defect, and I'm not satisfied with it."
327,187,2022-11-25,Not as described,I'm not satisfied with the quality of this product. It's subpar.
328,197,2023-01-02,Wrong item received,"This is not what I ordered, and I'd like to get the correct item."
329,115,2023-05-27,Changed my mind,"This product had a defect, and I'm not satisfied with it."
330,74,2023-01-22,Wrong item received,The quality of the product is disappointing. It's not worth the price.
331,161,2023-08-23,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
332,47,2023-07-16,Defective product,I expected something different based on the description. Disappointed.
333,31,2023-06-10,Changed my mind,I received the wrong item. It's not what I ordered.
334,34,2023-04-09,Changed my mind,"Unfortunately, I decided I didn't need this product anymore."
335,52,2022-10-06,Changed my mind,I'm not satisfied with the quality of this product. It's subpar.
336,1,2022-11-24,Changed my mind,The quality of the product is disappointing. It's not worth the price.
337,160,2023-02-02,Wrong item received,The quality of the product is disappointing. It's not worth the price.
338,196,2022-11-10,Poor quality,The product I received was defective. It didn't work properly.
339,65,2023-07-25,Defective product,"Unfortunately, I decided I didn't need this product anymore."
340,4,2023-06-06,Not as described,I received the wrong item. It's not what I ordered.
341,118,2023-05-18,Wrong item received,The product I received didn't match the description. It was misleading.
342,128,2023-08-07,Wrong item received,I received the wrong item. It's not what I ordered.
343,128,2023-08-26,Wrong item received,"Unfortunately, I decided I didn't need this product anymore."
344,140,2023-08-26,Changed my mind,"This is not what I ordered, and I'd like to get the correct item."
345,2,2023-08-01,Not as described,"Unfortunately, I decided I didn't need this product anymore."
346,156,2022-09-29,Wrong item received,The product I received was defective. It didn't work properly.
347,127,2023-03-05,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
348,61,2023-07-26,Not as described,I changed my mind after purchasing the product. Can I return it for a refund?
349,56,2023-08-18,Poor quality,"Unfortunately, I decided I didn't need this product anymore."
350,151,2023-06-30,Poor quality,I changed my mind after purchasing the product. Can I return it for a refund?
351,169,2022-12-06,Defective product,"This is not what I ordered, and I'd like to get the correct item."
352,122,2023-02-25,Not as described,I'm not satisfied with the quality of this product. It's subpar.
353,117,2022-11-21,Not as described,"This product had a defect, and I'm not satisfied with it."
354,105,2022-11-05,Changed my mind,I expected something different based on the description. Disappointed.
355,114,2023-01-07,Wrong item received,I received the wrong item. It's not what I ordered.
356,21,2023-08-17,Poor quality,I received the wrong item. It's not what I ordered.
357,154,2022-10-29,Changed my mind,I received the wrong item. It's not what I ordered.
358,154,2022-10-07,Defective product,"Unfortunately, I decided I didn't need this product anymore."
359,2,2023-04-13,Poor quality,I expected something different based on the description. Disappointed.
360,63,2022-12-08,Wrong item received,I received the wrong item. It's not what I ordered.
361,141,2023-01-17,Defective product,"This is not what I ordered, and I'd like to get the correct item."
362,72,2023-04-22,Defective product,The product I received didn't match the description. It was misleading.
363,159,2023-08-30,Wrong item received,The quality of the product is disappointing. It's not worth the price.
364,161,2023-06-09,Changed my mind,The quality of the product is disappointing. It's not worth the price.
365,143,2023-03-22,Wrong item received,"This product had a defect, and I'm not satisfied with it."
366,54,2023-02-14,Not as described,I expected something different based on the description. Disappointed.
367,13,2022-10-17,Poor quality,The product I received didn't match the description. It was misleading.
368,48,2023-08-12,Wrong item received,I changed my mind after purchasing the product. Can I return it for a refund?
369,38,2023-02-01,Poor quality,"This is not what I ordered, and I'd like to get the correct item."
370,15,2023-05-20,Not as described,The quality of the product is disappointing. It's not worth the price.
